Date,Time,Level,Source_IP,Dest_IP,Destination_Port,Proto,Action,Policy_ID,Service,Sent_Bytes,Received_Bytes
29/03/2022,17:01:21,notice,10.0.2.100,216.58.212.130,443,TCP,close,1,HTTPS,3575,21465
29/03/2022,17:01:21,notice,10.0.2.100,173.194.183.134,443,TCP,close,1,HTTPS,9989,226980
29/03/2022,17:01:21,notice,10.0.2.100,35.244.181.201,443,TCP,close,1,HTTPS,3375,9056
29/03/2022,17:01:21,notice,10.0.2.100,173.194.183.134,443,TCP,close,1,HTTPS,2949,2733
29/03/2022,17:01:21,notice,10.0.2.100,142.250.74.206,443,TCP,close,1,HTTPS,284407,4136920
29/03/2022,17:01:21,notice,10.0.2.100,216.58.213.3,443,TCP,close,1,HTTPS,2625,7037
29/03/2022,17:01:21,notice,10.0.2.100,173.194.183.134,443,TCP,close,1,HTTPS,6704,23954
29/03/2022,17:01:21,notice,10.0.2.100,142.250.185.131,443,TCP,close,1,HTTPS,1612,5666
29/03/2022,17:01:21,notice,10.0.2.100,142.250.186.70,443,TCP,close,1,HTTPS,1999,7816
29/03/2022,17:01:21,notice,10.0.2.100,142.250.181.234,443,TCP,close,1,HTTPS,5822,36935
29/03/2022,17:01:21,notice,10.0.2.100,216.58.212.163,80,TCP,close,1,HTTP,4911,10936
29/03/2022,17:01:21,notice,10.0.2.100,216.58.212.163,80,TCP,close,1,HTTP,4303,9996
29/03/2022,17:01:23,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,70,0
29/03/2022,17:01:24,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,70,487
29/03/2022,17:01:24,notice,10.0.2.100,93.184.220.29,80,TCP,close,1,HTTP,722,1862
29/03/2022,17:01:24,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,75,452
29/03/2022,17:01:25,notice,10.0.2.101,52.40.173.137,443,TCP,close,1,HTTPS,974,689
29/03/2022,17:01:25,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,450
29/03/2022,17:01:25,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,450
29/03/2022,17:01:25,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,154
29/03/2022,17:01:25,notice,10.0.2.101,65.9.103.38,443,TCP,close,1,HTTPS,25571,1068450
29/03/2022,17:01:25,notice,10.0.2.101,65.9.103.8,443,TCP,close,1,HTTPS,12184,215708
29/03/2022,17:01:25,notice,10.0.2.101,65.9.103.8,443,TCP,close,1,HTTPS,14435,322771
29/03/2022,17:01:26,notice,10.0.2.101,35.244.181.201,443,TCP,close,1,HTTPS,1894,9671
29/03/2022,17:01:26,notice,10.0.2.101,142.250.187.234,443,TCP,close,1,HTTPS,14669,479307
29/03/2022,17:01:26,notice,10.0.2.101,172.217.16.234,443,TCP,close,1,HTTPS,2314,13824
29/03/2022,17:01:26,notice,10.0.2.101,142.250.200.3,80,TCP,close,1,HTTP,1687,3385
29/03/2022,17:01:26,notice,10.0.2.101,93.184.220.29,80,TCP,close,1,HTTP,673,1862
29/03/2022,17:01:26,notice,10.0.2.101,142.250.200.3,80,TCP,close,1,HTTP,1073,1445
29/03/2022,17:01:26,notice,10.0.2.101,34.107.221.82,80,TCP,close,1,HTTP,1363,1524
29/03/2022,17:01:26,notice,10.0.2.101,34.107.221.82,80,TCP,close,1,HTTP,1190,1368
29/03/2022,17:01:26,notice,10.0.2.101,65.9.103.40,443,TCP,close,1,HTTPS,2610,26489
29/03/2022,17:01:26,notice,10.0.2.101,216.58.212.150,443,TCP,close,1,HTTPS,1754,7610
29/03/2022,17:01:26,notice,10.0.2.101,35.244.181.201,443,TCP,close,1,HTTPS,1981,5644
29/03/2022,17:01:26,notice,10.0.2.101,172.217.169.77,443,TCP,close,1,HTTPS,10691,384989
29/03/2022,17:01:26,notice,10.0.2.101,93.184.220.29,80,TCP,close,1,HTTP,2846,9291
29/03/2022,17:01:26,notice,10.0.2.101,65.9.103.115,443,TCP,close,1,HTTPS,3398,67560
29/03/2022,17:01:27,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,150,312
29/03/2022,17:01:27,notice,10.0.2.101,142.250.185.131,443,TCP,close,1,HTTPS,1595,10836
29/03/2022,17:01:27,notice,10.0.2.101,92.122.225.225,80,TCP,close,1,HTTP,20193,814893
29/03/2022,17:01:27,notice,10.0.2.101,142.250.200.3,80,TCP,close,1,HTTP,1851,3543
29/03/2022,17:01:27,notice,10.0.2.101,52.40.173.137,443,TCP,close,1,HTTPS,2230,7702
29/03/2022,17:01:28,notice,10.0.2.100,13.225.253.56,80,TCP,close,1,HTTP,608993,26514383
29/03/2022,17:01:29,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,80,496
29/03/2022,17:01:29,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,62,474
29/03/2022,17:01:29,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,74,451
29/03/2022,17:01:29,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,74,159
29/03/2022,17:01:29,notice,10.0.2.100,142.250.185.170,443,TCP,close,1,HTTPS,169655,7552510
29/03/2022,17:01:29,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,82,395
