Date,Time,Host_name,Priority,Event_ID,Severity,Description
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5156,Low,The Windows Filtering Platform has allowed a connection.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5158,Low,The Windows Filtering Platform has permitted a bind to a local port.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.101,SYSTEM.NOTICE,5447,Critical,A Windows Filtering Platform filter has been changed.
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
29/03/2022,17:03:42,10.0.2.100,SYSTEM.NOTICE,5154,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections. 
